instance_id,cpu,mode,time_of_usage,date
localhost:9100,0,idle,30407.98,1733366533.13
localhost:9100,0,iowait,1.85,1733366533.13
localhost:9100,0,irq,0,1733366533.13
localhost:9100,0,nice,0.04,1733366533.13
localhost:9100,0,softirq,3.19,1733366533.13
localhost:9100,0,steal,0,1733366533.13
localhost:9100,0,system,12.07,1733366533.13
localhost:9100,0,user,8.34,1733366533.13
localhost:9100,1,idle,30398.71,1733366533.13
localhost:9100,1,iowait,4.87,1733366533.13
localhost:9100,1,irq,0,1733366533.13
localhost:9100,1,nice,0,1733366533.13
localhost:9100,1,softirq,0.95,1733366533.13
localhost:9100,1,steal,0,1733366533.13
localhost:9100,1,system,15.19,1733366533.13
localhost:9100,1,user,9.32,1733366533.13
localhost:9100,2,idle,30420.92,1733366533.13
localhost:9100,2,iowait,2.81,1733366533.13
localhost:9100,2,irq,0,1733366533.13
localhost:9100,2,nice,0,1733366533.13
localhost:9100,2,softirq,0.09,1733366533.13
localhost:9100,2,steal,0,1733366533.13
localhost:9100,2,system,7.61,1733366533.13
localhost:9100,2,user,5.02,1733366533.13
localhost:9100,3,idle,30405.76,1733366533.13
localhost:9100,3,iowait,5.44,1733366533.13
localhost:9100,3,irq,0,1733366533.13
localhost:9100,3,nice,0.03,1733366533.13
localhost:9100,3,softirq,0.37,1733366533.13
localhost:9100,3,steal,0,1733366533.13
localhost:9100,3,system,16.9,1733366533.13
localhost:9100,3,user,6.02,1733366533.13
localhost:9100,4,idle,30400.01,1733366533.13
localhost:9100,4,iowait,1.95,1733366533.13
localhost:9100,4,irq,0,1733366533.13
localhost:9100,4,nice,0.08,1733366533.13
localhost:9100,4,softirq,0.01,1733366533.13
localhost:9100,4,steal,0,1733366533.13
localhost:9100,4,system,14.37,1733366533.13
localhost:9100,4,user,11.13,1733366533.13
localhost:9100,5,idle,30417.07,1733366533.13
localhost:9100,5,iowait,2.3,1733366533.13
localhost:9100,5,irq,0,1733366533.13
localhost:9100,5,nice,0,1733366533.13
localhost:9100,5,softirq,0.03,1733366533.13
localhost:9100,5,steal,0,1733366533.13
localhost:9100,5,system,12.15,1733366533.13
localhost:9100,5,user,5.11,1733366533.13
localhost:9100,6,idle,30391.09,1733366533.13
localhost:9100,6,iowait,2.89,1733366533.13
localhost:9100,6,irq,0,1733366533.13
localhost:9100,6,nice,0,1733366533.13
localhost:9100,6,softirq,0.07,1733366533.13
localhost:9100,6,steal,0,1733366533.13
localhost:9100,6,system,22.92,1733366533.13
localhost:9100,6,user,10.55,1733366533.13
localhost:9100,7,idle,30425.95,1733366533.13
localhost:9100,7,iowait,1.46,1733366533.13
localhost:9100,7,irq,0,1733366533.13
localhost:9100,7,nice,0,1733366533.13
localhost:9100,7,softirq,0.14,1733366533.13
localhost:9100,7,steal,0,1733366533.13
localhost:9100,7,system,6.92,1733366533.13
localhost:9100,7,user,5.04,1733366533.13
